controller_id,equipment_id,point_name,point_kind,units,value,quality,timestamp
MPC-1,AHU-1,AHU-1 SAT,sensor,degF,54.99,good,2026-07-10T23:45:00
MPC-1,AHU-1,AHU-1 RAT,sensor,degF,72.1,good,2026-07-10T23:45:00
MPC-1,AHU-1,AHU-1 MAT,sensor,degF,64.08,good,2026-07-10T23:45:00
MPC-1,AHU-1,AHU-1 DAT-SP,setpoint,degF,55,good,2026-07-10T23:45:00
MPC-1,AHU-1,AHU-1 SF-CMD,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-1,AHU-1,AHU-1 SF-STS,status,status,0,good,2026-07-10T23:45:00
MPC-1,AHU-1,AHU-1 SF-VFD-SPD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-1,AHU-1,AHU-1 OA-DMP-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-1,AHU-1,AHU-1 CHW-VLV-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-1,AHU-1,AHU-1 SAF-ALM,alarm,alarm,0,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 SAT,sensor,degF,54.74,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 RAT,sensor,degF,72.67,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 MAT,sensor,degF,64.48,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 DAT-SP,setpoint,degF,55,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 SF-CMD,actuator,cmd,0,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 SF-STS,status,status,0,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 SF-VFD-SPD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 OA-DMP-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 HW-VLV-CMD,actuator,pct,47.71,good,2026-07-10T23:45:00
MPC-1,AHU-2,AHU-2 SMK-ALM,alarm,alarm,0,good,2026-07-10T23:45:00
MPC-2,RTU-1,RTU-1 SAT,sensor,degF,55.14,good,2026-07-10T23:45:00
MPC-2,RTU-1,RTU-1 RAT,sensor,degF,72.15,good,2026-07-10T23:45:00
MPC-2,RTU-1,RTU-1 CLG-SP,setpoint,degF,72,good,2026-07-10T23:45:00
