Point Name,Equipment ID,Point Kind,Direction,Units,Unit System,Range Min,Range Max,Controller ID,BACnet Object Type,BACnet Instance,Modbus Register,Modbus Type,Source,Source Reference,Description,Tags
AHU-1 OAT,AHU-1,sensor,input,degF,IP,-20,120,AHU-CTRL-01,AI,1001,41001,,point_list,AHU-1-1001,Outside air temperature,"temperature,outside-air"
AHU-1 OA HUM,AHU-1,sensor,input,pct,IP,0,100,AHU-CTRL-01,AI,1002,41002,,point_list,AHU-1-1002,Outside air humidity,"humidity,outside-air"
AHU-1 MAT,AHU-1,sensor,input,degF,IP,35,95,AHU-CTRL-01,AI,1003,41003,,point_list,AHU-1-1003,Mixed air temperature,"temperature,mixed-air"
AHU-1 RAT,AHU-1,sensor,input,degF,IP,60,85,AHU-CTRL-01,AI,1004,41004,,point_list,AHU-1-1004,Return air temperature,"temperature,return-air"
AHU-1 RA HUM,AHU-1,sensor,input,pct,IP,15,85,AHU-CTRL-01,AI,1005,41005,,point_list,AHU-1-1005,Return air humidity,"humidity,return-air"
AHU-1 SAT,AHU-1,sensor,input,degF,IP,45,85,AHU-CTRL-01,AI,1006,41006,,point_list,AHU-1-1006,Supply air temperature,"temperature,supply-air"
AHU-1 SAT-SP,AHU-1,setpoint,input,degF,IP,50,65,AHU-CTRL-01,AV,1007,41007,,point_list,AHU-1-1007,Supply air temperature setpoint,"setpoint,supply-air"
AHU-1 DUCT SP,AHU-1,sensor,input,inWC,IP,0,4,AHU-CTRL-01,AI,1008,41008,,point_list,AHU-1-1008,Supply duct static pressure,"pressure,duct"
AHU-1 SF STATUS,AHU-1,status,input,,,,,AHU-CTRL-01,BI,1009,41009,,point_list,AHU-1-1009,Supply fan proof status,"status,supply-fan"
AHU-1 SF CMD,AHU-1,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1010,41010,,point_list,AHU-1-1010,Supply fan VFD speed command,"command,supply-fan,vfd"
AHU-1 CLG VALVE,AHU-1,actuator,output,pct,IP,0,100,AHU-CTRL-01,AO,1011,41011,,point_list,AHU-1-1011,Cooling valve command,"command,cooling-valve"
